text,prediction
Тия безделници осмислиха дневното си възнаграждение.. ,True
А биха ли го преди това? ,True
Тази медия вече се превърна в източник на нищожни новини от типа на селски глашатай. Очаква скоро нещо още по-незначително но гръмко от типа В кв. Изток пристигна камион от центъра на София. Жалка история. ,True
Пълна излагация. Жандармериста му сменя гумата а костюмаря стои с ръце в джобовете!!!! ,True
Че Жандармерията са едни такива добри чичковци дето не бият деца зад колоните. Те само сменяват гуми на закъсали хора. Какви добри чичковци. ,True
Кое е новината в случая - че жандармерията може са сменя гуми ли? ,True
Похвално и европейско ! ,True
А Ганьовскияяя работодател ако може и неделя да му бачкаш и да имаш да го черпиш затова защото ти дава хляб в ръцете. Дотам стигнаха тия. ,True
Скъпи сатанински спасители на земята бог си знае работата и кога да ни спаси от вас ,True
За тея заплати и 4 работни дни са много ,True
За здраво сърце най-вече не се инжектирайте със съмнителни ***. И избягвайте насекомите в менюто. ,True
Сьомга за богатите и веяна скумрия за бедните. ,True
kaufland lidl billa и няколко други големи търговски вериги със сигурност има картел...... тоя к'во се отваря на какъв се прави... ,True
Всички вдигат цените по веригата работя в магазин и виждам процентите печалба които залагат стоковедитена основните храни са по 2530 % а на битовите по 100 % . ,True
Интересно къде изчезна от рафтовете на БИЛА прясно охладеното месо от 15 20 годишни дълбоко замразени меса от резервите на Испания и Франция? Сага се предлага само Българска ферма  !!!!???? Каква е играта? Поредна измама ли е? ,True
До 95 : Значи ако някой иска да си продава стоката на цена която не ти харесва е грабеш на народа. Обаче ако ти искаш по-висока заплата (т.е. да продаваш своите умения на добра цена) не е ли също грабеж? Малко едностранна ви е логиката. ,False
Възмутен съм от лъжите и наглото държание на Вълканов в ТВ студиа! Толкова ли мисли за *** и наивен българският народче да не вижда нещата с високите цени! Ако не им харесва на чуждите вериги да си заминават от където са дошли! Крайно време е да подкрепим български магазини и пълен бойкот на чуждите играчи! ,True
Не можеш сам да си определяш цените на стоките защото Картелът ще ти пречи. Не държавата ще ти пречи да определяш цените. Картелът ще те запише като Шанаджията. ,True
Смехотворно. Аз съм търговец. Моята цел е да правя печалба. По-голяма печалба - по-добре. Ще си продавам продуктите на колкото аз реша. На който не му харесва да не купува. Ако видя че стоката не върви - сам ще намаля цените но никой не може да ме нарича спекулант заради това. Аз не съм нито тимуровска команда нито червеният кръст. Аз работя за печалба. Айде почвайте с минусите дреме ми на мерцедеса. ,False
Ролка за подмишница Нивеа в Германия 2 евров България 1050лв. ,True
Едно и също кисело мляко е 1.34 в Лидл и 2.05 в Била - очевидно има. Да не говорим че от 4 каси винаги работят само 2 - демек пари имат да лапат но не и за нови хора ,True
Кабинетът взел на мушка веригите но веднага ударил на камък. Всичко било на 6. Килограмът краставици най-нормално бил 795 лв. Нищо че краставицата е 98% вода ,True
лятото черешите ми ги изкупуваха по 70 ст за килограм а ги продаваха по 3.50лв в Кауфланд и Лидлтова колко процента надценка е?!?!? ,True
в Кауфланд лъжат най-многопостоянно правят грешки в полза на магазина ,True
Николайчощо лъжеш ве?Надценките във веригите са 70-80 %а има и по-големи.Не е нормално за логистика да има 10% надценказа транспорт 20%за реклама 20%и да казвамече печели 20 %тези лъжи не минават ,True
Къде 15%-20% недей лъга ***. Само 30% не харесват марж не говорим за маркетинг реклама брошури каса доп. регал втора точка докато не станат 60%-70% няма да те пуснат да продаваш. Недей говори глупости и да лъжеш хората. ,True
Нямат 80 % надценка  а правят промоции на минус 50%   такава математика няма в учебника ,True
няма 80+ процента надценка тя просто е над 100. Ай сиктир от пропаганда и глупости ,True
Българдките заводи когато трябваше да се приватизират вместо да се дадат на чужди фирми се дадоха на наши хора които ги разпродадоха и затвориха.Америианците нямат нищо общо ,True
Знаете ли  че при пазаруване  сумирах всички продукти на телефона  накрая на касата ми излезе 8 лева разлика в полза на магазина . Вдигнах скандал  дойде управител  оказа се че аз съм прав  но как става разминаването на каса и етикет  така и не стана ясно . По реакциите им разбрах  че те знят за това нещо . Ама една птичка пролет не прави . Така де да си знаете и да си отваряте очите . ,True
Кокошката 15 лева тока е колкото миналата година газта е даже по-евтина ... Ама яйцета са 3 пъти по-скъпи ... ,True
Тоя експерт  кво се прави на ущипан?  Ние да не пасем щир?  Отваряте която и да е електронна брошура на веригите за друга страна и четете.  Сички сте грамотни! .....предполага се. ,True
Това е истината. Те и българската промишленост фалираха за да нямат конкуренция. ,True
са организирани престъпни групи за източване на българската икономика и спестяванията на бедния народ и изнасянето на парите към техните собственици и държави. ,True
Ресторантите нали им намалиха ДДСто  даваха им помощи за тока и какво стана ? За магазините не ми се говори  направо ги намразих .Яйца в Лондон 26ст. На Иван пилето по 70ст . Дерони Лондон 1.20лв  София 609лв .Всички продукти в другите държави са много по евтини  тук сме като в резерват .Направо съм бесен ! Ако има протести отивам ! ,True
Явно държавата трябва или да регулира добре пазара или да си направи вериги от магазини а защо не и да се направят производствени предприятия като държавната фирма ЛБ Булгарикум - може би предприятието с най-качествените продукти а това която се върти по-скоро е политически игри които могат да съсипят предприятието. ,True
Да ги затварят или таксуват. По време на пандемията бяха наблъскани вътре като мишки всички против всички възможни забрани. Сега народа гладен те продават сирене по 30 лв и лютеница по 15...ех как милея за домашна лютеница.... Ама селата пусти като сърцата ни ,True
ЕВРОАТЛАНТИЧЕСКИ МИШКИТОВА ТУК СЕ ДЪЛЖИ НА ЕС!ДА НЕ ЗАБРАВЯМЕЧЕ ИМАМЕ ГЛОБА ЗА ОТСТЪПКАТА ОТ 25СТ. ЗА ЛИТЪР ГОРИВОКОЙТО Е  СЪЩО С НАДВИШЕНА ЦЕНА 1ЛВ ,True
Нефелното ни НС вместо да се чуди как да се навежда ниско на евроатлантиците подарявайки им милиарди от без друго опърпания ни бюджет да беше гласувало един ясен закон за забрана на спекулата поне с нещо да е полезен на народа на чиито гръб кара месеци. ,True
Да така е само от 200 и 300 процента. ,True
Излъгаха ни  че било инфлация  пък то било чиста спекула . Моля ви не чупете или палета  просто спрете да купувате . Ако ви се наложи  вземете само толкова колкото ви трябва за деня .Добре  че се стопли времето и мога да ходя до Румъния за съботния пазар . Намирам си олио по 250  кашкавал по 15 лева и много други продукти ,True
На Пазара и в Магазина зеленчуците са с еднакъв произход и идват от една и съща борса. Работил съм на Борса за зеленчуци товарил съм на бай MAHГAL буса и на Била камиона. В Била цената на продукцията е ДВОЙНА дори понякога ТРОЙНА на тази от пазара. Сега да кажат какви са тия транспортни разходи като и двамата сте на Женски Пазар. Освен може би на Била камиона да гори по 1 ТОН НАФТА на километър. ,True
ХЛЯБЪТ - 0% ДДС. ЦЕНАТА - ВЪОБЩЕ НЕ ПАДНА И С 1 СТОТИНКА!!! КАК СЕ НАРИЧА ТОВА??? ,True
Краставиците на пазара са около 2 лв а в магазините 8... Да взема да им купя от пазара и да им продам малко?!? ,True
На всички е ясно че не са само веригите а всички. Я сравнете цените в БГ и европейските страни. Търговците се уляха прекупвачите искат от въздуха да печелят. ,True
Не е вярно политици и търговци лъжат пак. Цените на хигиенните стоки (са пуни и прах за пране и други) надхвърлят 100%. ,True
Добре се получи сега и този се обади Николай Вълканов председател на Сдружението за модерна търговия.По скоро трябва да се прекръстят на Николай Вълканов председател на Сдружението на Мародерите! ,True
Надценките са огромни но това е влязло в българското законодателство защото големите чуждестранни вериги плащат за лоби навсякъде включително и в българския парламент. Така че трябва оттам да се започне от промяна на законодателството. ,True
Добре бе айде да обясни тогава как така Немски стоки се доставят в Лидл в България в Гърция и в Германия. В Германия цените са средно с около евро по високи от Гърция в България средно двойни. Гърция по-близо ли е до Германия? Има и Лидл в Анталия там също цените са на половина от Българските говорим за същите немски стоки. Някак си очевидно между склад в България и магазин в България се изминават близо 19 000 км за да се удвои цената! ,True
До Анонимен 24. По принцип големите вериги печелят от лудостта наречена потребителство. Иначе какво му трябва на човек ? Като се замислиш - нищо особено. ,True
Ако наистина имаха големи разходи тогава нямаше да продават на промоция с толкова големи намаления защото това би означавало да продават на загуба. В случая се опитват да оправдаят спекулата. Разходите ги има но тези за реклама и проверка за конкурентна цена не може да са основание за поскъпването на основните храни които винаги се купуват. ,True
Върнете си Борисов. Той ще намали всички цени още на следващия ден. Така както намали с левче бензина. ,True
Един току що го уволнууха след като смъкна с 30% цените защото им била много висока надценката и се надявал че ще увеличи продажбите :) ,True
Защо цената на един и същи български продукт е по евтин в Германия ? ,True
Живея в Лозенец. При нас има доста малки български фирмени магазини и за мляко и за месо. Да ти кажа цените са около 2 пъти по-високи от тези в Била Лидл и Кауфланд. ,True
Прах в очите на хората за пореден път! ,True
Вълканов я ми обясни кой как и по какъв начин определи цена на крастивиците от 8 лева за кг ? Искам да знам стотинка по стотинка как направихте това ценообразуване Айде ,True
Щом започнаха да се оправдават значи нещата се движат в правилната посока! ,True
За 10 години колко поскъпнаха цигарите - за тях няма ли разходи - а сега помислете дали другите не са алчни и ме грабят от нас ,True
Статията както в последните 10 години е манипулиращав Русия като цяло всичко си върви по-старомус изключение на приграничните райои с Украйна.Цените спрямо цените в Европа и България са мръднали с 10-на %комуналните си почти същите -страшно ниски..за водатокпарноасансьорТВподържка на входа..за двустаен апартемент се плаща към 150-200 лева..имат си хора за ремонт на апартаментите..звъниш и те идват до 2-3 час..естествено си плащаш..но не и таквиз цени като при нас тук-космически.Живеят си ,False
...правят се на луди защото са страхливци и нямат  нито една спечеленаВойна освен ВСВкогато САЩ беше на тяхна страна! ,True
Благодарим на сор. смрат в България че ни спря руският 1 канал за да го гледаме в интернета и да знаем какво става по света. Концертът оня ден в памет на защитниците на Отечеството  с участието на Путин беше зашеметяващ. Стотици хиляди бяха както вътре така и около Лужники. Ферия от прекрасни песни на Газмаанов Шаман и други световни звезди. Беше наслада за душата да видиш пълен до дупка Лужники  с хора и по терена. 4% само инфлация в Европа над 20 как изостава Русия не знам.Путин номер едно ,False
Да се чудим на руснаците щом ние в България все още плащаме с данъците си милиони евро за измислените ваксини против Ковид и после ги бракуваме и изхвърляме. Можем ли да направим нещо против това? Пука ли ни? ,False
Напишете нещо за путиновата младеж как горят знамена книги как маршируват ,True
1. Защото главите им са празни! 2. Защото се преструват за всичко! Когато напуснете москва и нещата драматично се променят! Толкова са бедни че ..... не може да се преживее тази действителност ако не се преструваш! ,True
Руски са и ново-присъеднинените територии Запорожие Луганск Донецк Херсон. Там имаше референдуми и хората еднозначно отговориха че искат да се присъединят към Русия. Това е правото на Демократичен избор а Западните демокрации и Украина го отхвърлят. ,False
Обикновените Руснаци нямаше как да спрат или предотвратят войната след като решението за нея бе взето на най-високо ниво. В статията грешно се посочва че те биха могли да го направят ако се бяха надигнали но това е невъзможно поради секретно взетите   а и заплахите от Запад не са скалъпени а реални. Западът непрестанно повтаряше че Крим е Украински а всички знаем че е Анексиран и то съответстващо на моралните и военни норми както е създадено Косово турската част на Кипър. Крим е Руски. ,False
Кат търпят Путин да си го гледат сега докато ги мобилизира за да постигне фикс идеята си на откачен старчок - как се гънеше с китайците само. ,True
До 139 Какъв Соледр какви 5 лева биомасата от затворници е на привършване. Останаха им една шепа мародери колкото да щурмуват външна тоалетна в някое село. Голяма веселба ще пада когато започне мобилизацията в големите градове. ,True
България Сърбия Черна Гора Косово Босна Хърватска Чехия Унгария Албания Македония минават всички към Китай след няколко месеца. Всичко друго отива за Русия и Турция. Планът е начертан отиде. ,False
Русия разполага с изобилие от енергия ресурси и продоволствия. Руският народ винаги ще бъде обилно нахранен и на топло. Русия е добре защитена никой не може да направи нищо на Русия. Русия започва да си оправя икономиката и постепенно да замества западните технологии със собствени. Това никак не е лесно след 30 години либерална разруха но е възможно. А за ЕС няма никаква възможност да възстанови икономиката си и стандарта си ЕС ще се превърне в латиноамерикански вариант и нищо не може да го спаси. ,False
Защо се преструват? Заради същата причина поради която никой не смееше да гъкне на Тошо. Нарича се диктатура. И още по лошо а гъкнеш а затвор за 10 г. Или фронта за пушечно месо. Сетиха се като ги мобилизира. Засега който го е отнесъл е свършен погребен. Сега чакаме новата партида от 1 милион. И да видим какво ще стане. ,True
Заглавието от Покрайна ли е ?Или пък от Великобритания ?А може от САЩ ? ,False
Отговорът на въпроса е: Защото не са умни ,True
