brand,model,year,price,fuelType,gearType,totalKm,HorsePowers,color,id
BMW, 535,2004,24900, Дизел, Автоматични скорости,244000,272,Тъмно син металик,62c529f416a2fd342f0b9462
Audi, Q5,2011,26999, Дизел, Автоматични скорости,183000,240,Черен,6213c7b06db3d2600d09b513
BMW, 730,2005,11000, Дизел, Автоматични скорости,480000,270,Черен металик,6297c71ad8cabd415b032113
VW, Passat,2013,17550, Дизел, Ръчни скорости,229474,140,Светло сив,62c1862924e2529edd0dec02
Peugeot, 207,2007,5600, Бензин, Ръчни скорости,192000,109,Сив металик,62a25f27d0f92612180ef8f3
Mercedes-Benz, CLS,2019,92999, Дизел, Автоматични скорости,86000,245,Черен,62ae3fa2ef2cf340f40c3552
Citroen, C4,2008,4499, Дизел, Ръчни скорости,218000,90,Бронзов металик,621df8f8a1bbfe2ab86e2422
Mitsubishi, Outlander,2008,8999, Дизел, Ръчни скорости,176000,140,Черен,62ea9b1f56ab16548e08d902
Mercedes-Benz, C,2005,5800, Дизел, Ръчни скорости,234000,150,Сив металик,62bc5c3df2b5512c3e0f5352
Seat, Altea,2009,8999, Дизел, Ръчни скорости,177000,140,Черен металик,5f8ab8cbfb1f1e24175c5587
Peugeot, 407,2005,5555, Дизел, Автоматични скорости,372000,136,Черен металик,62347e58db9a9459cf54ef62
Peugeot, 208,2014,16500, Газ/Бензин, Ръчни скорости,71722,95,Тъмно сив,62779a4da31b7c0d1c038675
Suzuki, Grand,2005,5900, Бензин, Ръчни скорости,317000,150,Зелен металик,629a1b16a8debc5be1024492
VW, Passat,2001,3200, Бензин, Ръчни скорости,346000,170,Тъмно сив металик,62821df39d40291ea407d4d3
Mercedes-Benz, C,2009,8250, Дизел, Ръчни скорости,194000,170,Сив металик,6269c1eade0c04ba1a01ab94
Hyundai, Santa,2007,9888, Дизел, Ръчни скорости,219000,150,Светло сив металик,61c1f7ad951cd53c21702db5
Ford, Focus,2005,3777, Дизел, Ръчни скорости,261000,136,Сив металик,627a504b50651759e108cad3
VW, Golf,2006,5350, Дизел, Ръчни скорости,236000,90,Сив металик,628220449ad90f35f6017533
Peugeot, 3008,2011,11799, Дизел, Ръчни скорости,240000,112,Черен металик,6294c07ef2f1c25fe80ca342
Mercedes-Benz, E,2008,15000, Дизел, Автоматични скорости,250000,240,Черен металик,628cc7ff899953023c06a545
Mercedes-Benz, E,2008,15000, Дизел, Автоматични скорости,250000,240,Черен металик,628cc7ff899953023c06a545
BMW, 530,2005,8800, Дизел, Автоматични скорости,245144,218,Сив металик,61dca389956a851df14f8ef3
Hyundai, Santa,2007,12000, Дизел, Автоматични скорости,204000,155,Сив металик,62b886d0656896ffe503c6b4
Opel, Meriva,2003,4200, Дизел, Ръчни скорости,180000,100,Син металик,62ed71755b9422d029089cd3
Toyota, Auris,2007,7500, Дизел, Ръчни скорости,250000,126,Тъмно сив,62765cf243c9e109cd0ee6f2
Nissan, Qashqai,2011,14500, Дизел, Ръчни скорости,169000,150,Черен,61f61eb3325ece14d209a982
Toyota, Auris,2013,18500, Дизел, Ръчни скорости,197000,125,Тъмно сив,62ed70b475adc568fa0d7d62
Renault, Zoe,2018,38999,, Автоматични скорости,86000,110,Син,62d9598c3a262413ce038e47
VW, Jetta,2012,15650, Газ/Бензин, Автоматични скорости,212356,115,Бял,62bf0436a9d21fad13049e33
Toyota, Avensis,2007,5900, Дизел, Ръчни скорости,189000,177,Тъмно сив металик,62ed702726cceb0ffd0f33f2
Toyota, Aygo,2014,11400, Бензин, Ръчни скорости,103312,68,Светло син,61cf2f4ee360702535372f64
Opel, Insignia,2009,15999, Бензин, Автоматични скорости,180000,220,Зелен,62ecd6f38f1b62be4d0c7c82
Renault, Koleos,2020,56500, Дизел, Автоматични скорости,34200,191,Черен металик,61bd14f631b0f812657255e2
Alfa, Romeo,2003,2700, Дизел, Ръчни скорости,250000,200,Сив металик,62ed69ead5cfa2baec027b57
Mercedes-Benz, ML,2006,14799, Дизел, Автоматични скорости,299235,224,Черен металик,62ed6f8e9ae6b7d7480e3272
Mercedes-Benz, C,2006,3999, Дизел, Автоматични скорости,200000,150,Сребърен,627fffe0e80f5c4b680698d5
BMW, 530,2008,16500, Дизел, Автоматични скорости,200211,231,Сив,62ed6f59a1ea5cc7b004d435
